"company_name_old","company_name_new"
"24 Seven Taxi","Seven Taxi"
"2733 - 74600 Benny Jona","Benny Jona"
"3011 - 66308 JBL Cab Inc.","JBL Cab Inc"
"312 Medallion Management Corp","Medallion Management Corp"
"3556 - 36214 RC Andrews Cab","RC Andrews Cab"
"3591 - 63480 Chuks Cab","Chuks Cab"
"3620 - 52292 David K. Cab Corp.","David K Cab Corp"
"3721 - Santamaria Express, Alvaro Santamaria","Santamaria Express Alvaro Santamaria"
"4053 - 40193 Adwar H. Nikola","Adwar H Nikola"
"4523 - 79481 Hazel Transit Inc","Hazel Transit Inc"
"4623 - 27290 Jay Kim","Jay Kim"
"4732 - Maude Lamy","Maude Lamy"
"4787 - 56058 Reny Cab Co","Reny Cab Co"
"5 Star Taxi","5 Star Taxi"
"5062 - 34841 Sam Mestas","Sam Mestas"
"5167 - 71969 5167 Taxi Inc","5167 Taxi Inc"
"6574 - Babylon Express Inc.","Babylon Express Inc"
"6743 - 78771 Luhak Corp","Luhak Corp"
"Blue Ribbon Taxi Association","Blue Ribbon Taxi Association Inc"
"Blue Ribbon Taxi Association Inc.","Blue Ribbon Taxi Association Inc"
"Chicago Carriage Cab Corp","Chicago Carriage Cab Corp"
"Chicago City Taxi Association","Chicago City Taxi Association"
"Chicago Independents","Chicago Independents"
"Chicago Medallion Management","Chicago Medallion Management"
"Chicago Taxicab","Chicago Taxicab"
"Choice Taxi Association","Choice Taxi Association Inc"
"Choice Taxi Association Inc","Choice Taxi Association Inc"
"City Service","City Service"
"Flash Cab","Flash Cab"
"Globe Taxi","Globe Taxi"
"KOAM Taxi Association","KOAM Taxi Association"
"Leonard Cab Co","Leonard Cab Co"
"Medallion Leasin","Medallion Leasin"
"Metro Jet Cab Association Inc.","Metro Jet Cab Association Inc"
"Metro Jet Taxi A.","Metro Jet Taxi Association"
"Metro Jet Taxi Ass","Metro Jet Taxi Association"
"Nova Taxi Affiliation Llc","Nova Taxi Affiliation Llc"
"Patriot Taxi Dba Peace Taxi Associat","Patriot Taxi Dba Peace Taxi Associat"
"Petani Cab Corp","Petani Cab Corp"
"Setare Inc","Setare Inc"
"Star North Management LLC","Star North Management LLC"
"Star North Taxi Management Llc","Star North Management LLC"
"Suburban Dispatch LLC","Suburban Dispatch LLC"
"Sun Taxi","Sun Taxi"
"Taxi Affiliation Services","Taxi Affiliation Services"
"Taxi Affiliation Services Llc - Yell","Taxi Affiliation Services"
"Taxicab Insurance Agency Llc","Taxicab Insurance Agency LLC"
"Taxicab Insurance Agency, LLC","Taxicab Insurance Agency LLC"
"Top Cab","Top Cab Affiliation"
"Top Cab Affiliation","Top Cab Affiliation"
"U Taxicab","U Taxicab"
